Action,Customer ID,Campaign,Ad group,Status,Ad group type
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Flat Tyre Call,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govan Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Partick Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Shawlands Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Pollok Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Pollokshields Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Maryhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Springburn Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Dennistoun Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Parkhead Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Bridgeton Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Tollcross Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Castlemilk Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Cathcart Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Govanhill Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Ibrox Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Kinning Park Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Kelvinside Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Hyndland Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Hillhead Emergency,Enabled,
Add,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Anniesland Emergency,Enabled,
