Action,Keyword status,Customer ID,Campaign,Ad group,Keyword,Match Type,Final URL
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,emergency tyre fitting Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,emergency tyre fitting Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,emergency tyre fitter Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,emergency tyre fitter Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,24 hour tyre fitter Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,24 hour tyre fitter Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,24 hour tyre fitting Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,24 hour tyre fitting Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,mobile tyre fitter Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,mobile tyre fitter Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,mobile tyre fitting Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,mobile tyre fitting Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,mobile tyre repair Glasgow,Exact Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
Add,Enabled,242-715-2166,TR Search Emergency Scotland Mainland,Glasgow - Emergency 24-7,mobile tyre repair Glasgow,Phrase Match,https://www.tyrerescue.uk/emergency-tyre-fitting/glasgow
