Action,Customer ID,Negative keyword list name,Negative keyword,Keyword or list,Match type
Add,242-715-2166,TR Emergency Waste Blockers,jobs,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,job,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,career,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,careers,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,vacancy,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,vacancies,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,salary,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,apprenticeship,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,training,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,course,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,courses,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,diy,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,how to,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,youtube,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,video,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,manual,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,forum,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,pdf,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,free,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,kit,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,repair kit,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,puncture kit,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,tyre machine,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,tyre changer,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,garage equipment,Keyword,Phrase Match
Add,242-715-2166,TR Emergency Waste Blockers,wholesale,Keyword,Phrase Match
